RegionID,RegionName,RegionType,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026,4/30/2026
9,California,state,769356.0826,769200.4124,770710.3253,774643.1978,779215.5926,781733.9388,783767.6267,785569.8018,787909.4207,789530.179,791337.0375,793164.9219,793332.6515,791917.1787,788400.6041,785024.8432,781037.2431,777180.895,774258.459,772278.4942,771846.6481,772612.9726,774314.3662,776652.4725,777945.9257,778306.6351,777598.9839,776232.9359
54,Texas,state,310713.0465,310983.1057,311885.7195,312771.4297,313114.0218,312874.5622,312295.0153,311865.8927,311598.1524,311331.6448,310950.5256,310669.688,310489.1001,310310.2422,309571.5409,308495.3813,307223.783,306019.2051,304945.1209,304102.2153,303583.2459,303209.6151,303053.4084,303066.6801,303088.8667,303068.5259,302780.184,302187.2379
14,Florida,state,401662.5131,402401.8168,403279.7689,403970.8529,404097.3763,403298.7479,402225.2418,401192.8526,400322.9108,399358.8078,398137.7421,397024.9047,396064.5901,394968.1905,393244.7089,391047.3535,388548.7362,385916.6068,383115.3031,380609.5946,378816.7049,377655.5531,376965.6007,376609.1999,376604.2947,376788.3989,376884.9922,376504.3137
43,New York,state,452342.2409,454553.4802,457528.312,461164.5949,464506.8778,467194.3562,469706.985,472781.4137,475623.597,478024.5889,479842.7262,481584.656,482705.4486,483875.5402,484772.4055,486128.5519,487375.8248,488936.3947,490832.5379,492480.9507,494284.0267,496249.2998,498623.4919,501000.4179,503099.3626,505478.6545,508126.8713,510449.493
47,Pennsylvania,state,266387.2529,267241.4003,268601.8626,270317.8358,271845.9799,272755.6515,273102.588,273359.5036,273756.8812,274520.4811,275431.7036,276652.0479,277746.6427,278682.5092,279160.5336,279566.1683,279965.7451,280348.0124,281133.1343,281864.7027,282678.9546,283005.8791,283465.9328,284052.876,284802.9213,285517.2479,286060.9649,286387.0422
21,Illinois,state,259594.0172,260651.4436,262568.7646,265043.8865,266849.186,267987.6523,268640.0711,269466.3933,270254.1442,271137.8445,272087.6609,273233.6129,274391.3728,275512.5442,276228.099,276680.0952,276941.1981,277312.1032,278127.8919,279139.4807,280448.6836,281775.8207,283337.8522,285032.6898,286549.7433,288171.1679,289419.9847,290210.0984
44,Ohio,state,221487.222,222287.031,223872.6938,225906.59,227744.4768,228985.6134,229811.5927,230401.2158,230812.3298,231302.6623,231944.0401,233181.7709,234516.9142,235754.6442,236266.717,236437.8033,236587.309,236860.8006,237604.3518,238299.8118,239161.4813,239772.0076,240550.2789,241467.0029,242472.9728,243447.8954,244313.3883,244843.7348
16,Georgia,state,335704.0756,336395.132,337746.686,339430.7284,340806.5513,341427.7163,341658.5396,341852.1395,341912.9988,341698.7715,341095.0641,340648.0721,340274.3746,339858.0181,338817.6473,337646.4572,336478.0346,335521.6565,334729.4582,334192.3128,334061.0221,334011.9405,333942.3642,333840.1589,333758.6967,333784.7282,333756.18,333559.2964
36,North Carolina,state,332119.4227,332541.6234,333918.9798,335740.6342,337435.313,338125.4474,338276.6966,338070.5361,337954.6105,337972.3135,337945.6212,338378.1458,338827.7974,339140.995,338663.5202,337836.85,337037.3315,336242.1105,335692.3659,335295.7363,335451.3679,335725.7813,336028.1921,336182.4479,336412.4722,336782.5639,337226.9704,337272.7533
30,Michigan,state,239367.1278,240305.36,242185.7443,244495.8345,246153.6171,247126.5584,247431.7799,247730.0967,247985.4028,248589.5814,249238.8506,250194.7105,251226.2778,252249.1377,252718.4322,252886.2622,253033.0596,253324.4062,253949.6449,254583.8107,255385.921,256314.2891,257586.7424,259156.2357,260564.481,261923.5786,262950.4576,263589.7176
40,New Jersey,state,508689.0296,512281.6818,517260.7701,522923.6445,527290.4649,530289.6954,532904.7169,536042.8406,539463.381,542496.9782,544894.6455,546502.272,547753.5264,549224.5493,550722.6846,552524.6504,553708.8436,554616.768,555199.2038,555675.5177,556683.1011,558521.4637,560713.8149,563163.3902,565281.2936,567653.7025,570067.4911,571372.94
56,Virginia,state,387997.8376,389081.8282,391207.4678,394087.9948,396677.841,398231.5007,399166.9151,400114.104,401265.4935,402716.2926,403981.9729,405377.8188,406481.732,407361.4438,407418.5357,407225.4853,406868.1475,406682.6213,406884.3766,407389.6769,408391.6595,409627.9528,410909.9806,412047.0117,412831.8709,413462.5605,414019.7909,414320.0925
59,Washington,state,588050.0801,589159.621,591850.6925,595427.0612,598652.0396,600022.282,600582.7277,601103.6737,602755.0198,604991.4955,607411.2765,609704.4269,611250.4112,611735.4191,610150.8623,607623.6254,604605.5786,602329.5658,600804.4945,600324.3854,601031.3542,602694.8618,604699.5729,606557.2469,607897.4789,608198.8494,606926.1625,604087.3893
8,Arizona,state,434738.0624,435275.4558,436586.7722,438191.8,439464.7349,439727.4569,439351.1755,438534.7073,437820.6997,437240.27,436695.9665,436269.4831,435502.9468,434272.8825,432454.0659,430823.2084,429250.5516,427755.7932,426155.2308,424716.1316,423743.3804,423227.7131,423314.2603,423829.4409,424365.9357,424740.541,424560.9471,423745.6274
26,Massachusetts,state,618037.74,620095.9978,623792.7742,628916.6967,633510.2294,636304.6179,638270.0649,640432.9181,642792.0682,644773.398,646368.0211,648213.0857,649869.4031,651453.9102,651745.0304,651705.4715,650663.4141,649577.7943,648910.4851,648997.5935,650198.647,652476.8495,655182.1216,658000.7096,660009.7763,661294.8431,662034.1024,661754.6353
53,Tennessee,state,325361.427,325743.4123,327112.8507,329143.0721,331129.0263,332149.4406,332544.0877,332310.2865,331972.3322,331814.7539,331714.226,332243.5402,332955.385,333615.7238,333496.6628,332955.6101,332521.2222,331985.9282,331560.8159,331048.1916,331043.3859,331164.0887,331578.1525,331993.1706,332582.7743,333107.0983,333791.4651,334074.9061
22,Indiana,state,234991.5154,236032.9971,237808.8582,239662.0645,241189.3121,242053.3405,242474.5151,242855.1175,243311.6187,243950.3973,244740.4384,245975.3407,247358.1744,248574.7301,249096.284,249156.164,249196.2806,249365.5544,249930.8276,250386.4132,250978.0062,251438.591,252164.0389,253118.8033,254206.8496,255284.177,256144.2639,256583.7059
27,Maryland,state,414787.355,415835.2796,418194.3588,421218.5613,423512.3444,424179.2803,423927.2842,423721.6345,424435.2064,425852.9744,427378.1424,428778.6146,429960.518,430863.4059,431136.7616,431276.4601,431214.1061,431096.7896,431079.3501,431055.7101,431123.6645,431068.345,431075.1279,431266.1507,431328.1625,431600.6074,431876.2095,431934.0914
32,Missouri,state,247179.0701,247858.6226,249027.091,250439.3268,251430.2004,252056.3374,252543.909,253170.5691,253781.1013,254385.7665,255175.5222,256378.9529,257545.378,258372.0173,258488.6638,258271.8141,257974.472,257791.5591,258078.9405,258652.9688,259522.2577,260166.3239,261013.9242,262062.8929,263228.174,264230.2339,264970.7081,265397.7043
60,Wisconsin,state,295700.1141,296619.6426,299028.203,302270.1918,304586.5978,306166.7251,307052.3776,307996.3876,308680.6506,309626.0153,310808.0266,312229.4797,313649.6788,315059.7034,316075.4577,316858.8063,317633.322,318407.4353,318929.934,319451.4403,320462.7008,322223.9868,324418.6505,326935.8376,329155.4683,331360.2451,333043.1106,333908.9955
10,Colorado,state,556878.4312,556971.9169,557723.5436,559083.0714,559892.7642,559696.2233,559387.3209,559538.7878,560493.3468,561398.1398,562329.3246,563050.3405,563192.9939,562093.6143,559472.4524,556442.0311,553322.6689,550811.1797,548853.2536,547971.4799,548069.7468,548690.3069,549282.1854,549589.9756,549282.3476,548162.6306,546026.4885,543270.8149
31,Minnesota,state,331040.9753,331269.4297,332448.6824,333907.2442,334711.1803,334537.3131,334183.0612,334363.1655,335004.0471,336193.8591,337385.4244,339111.2581,340571.4662,341651.922,341541.1283,341103.7441,340615.1422,340608.841,341276.4455,342235.4225,343458.1906,344590.9989,345814.4217,347281.6721,348608.8425,349961.8452,350707.0994,350891.295
51,South Carolina,state,298456.3179,299019.3634,300186.9551,301688.5897,302915.2643,303532.4669,303806.1152,303919.3775,303871.8035,303752.242,303459.8486,303634.0312,304091.5866,304670.9645,304578.1856,304059.6154,303437.58,302702.6854,302033.0681,301390.0687,301347.4599,301594.7222,302100.1512,302601.101,303257.8014,304086.5088,304831.3698,305173.5522
4,Alabama,state,228497.2654,228411.6995,229163.314,230541.9936,231840.599,232387.8087,232463.7745,232321.1219,232196.0922,232339.2992,232527.1528,233176.9764,233803.5622,234374.5087,234241.8282,233856.0719,233586.4766,233350.1857,233161.7524,232891.4863,232892.396,233066.2862,233376.5104,233857.3832,234385.0439,235189.2315,236064.1094,236704.8751
25,Louisiana,state,212482.6876,212233.1002,212551.9741,213526.1576,214112.9406,214018.0973,213455.5328,212562.8052,211611.4873,210954.321,211020.8291,211951.3556,212919.33,213593.7251,213473.4383,212704.0002,211833.8081,211083.8482,210617.4216,210307.9951,210230.2885,210432.7778,210692.99,211196.8996,211972.2662,213246.1836,214216.8486,214727.4957
24,Kentucky,state,215036.2234,215386.7157,216292.9503,218179.2819,219879.7446,221108.9078,221619.6565,221969.0278,221896.9182,222194.3601,222959.5384,224998.9514,227490.5682,229945.1828,231608.0663,232813.8252,233425.6504,233529.6078,233021.0229,232410.8365,231838.9997,231268.5885,230970.3491,231018.4132,231389.9105,231977.1748,232368.6627,232231.1209
46,Oregon,state,498628.1086,498816.953,499771.7059,500882.4279,501816.3489,501908.0291,501990.7196,502152.3334,502946.1082,504022.2702,505447.0802,506967.0705,508036.1961,508180.4207,506876.8812,505159.9925,503277.9596,501818.2667,500822.0507,500298.8072,500415.3526,501011.6912,501967.398,503011.0249,503686.0427,503826.1736,503130.5442,501660.6491
45,Oklahoma,state,209168.7415,209605.5822,210328.5492,211392.2646,212237.3485,212747.6209,212978.9722,213380.9317,213667.0466,214110.9594,214621.7257,215649.5543,216616.6454,217256.5538,217283.5808,217009.2024,216759.6252,216514.4674,216518.1537,216665.3886,217125.4174,217634.6972,218320.1013,219179.6853,220162.557,220997.4516,221574.3803,221764.6711
11,Connecticut,state,393882.6731,396246.3904,399607.5751,403344.1907,406494.7914,408425.1132,409958.6145,411506.7361,413288.0668,414813.6746,415844.9728,416782.363,417828.7109,419084.6959,420104.0315,421378.7639,422690.2945,424167.9661,425918.3747,427572.8055,429237.6709,430664.9075,432331.5285,434321.8667,436311.4508,438084.5195,439838.4583,441466.1813
55,Utah,state,519868.2386,520014.617,521359.1771,522935.264,523813.5465,523468.1281,522560.405,521980.0595,522654.6642,524491.745,527130.6087,529784.9135,531977.5586,533090.8147,532864.7352,532232.3541,531132.4669,530420.8685,530205.0963,531188.1512,533296.4828,535911.8259,538474.9677,540813.9657,542652.3324,543669.509,542994.5643,540992.5153
19,Iowa,state,214382.8709,214819.6686,216031.3062,217722.8521,219301.3769,220188.9349,220456.1355,220566.0996,220657.9939,221080.0508,221824.9045,223228.2781,224652.1721,225788.5773,226138.6691,226176.7134,226087.3667,226267.0516,226961.2716,227843.5055,228748.1668,229381.6182,230209.7836,231348.8497,232617.7082,233710.4068,234471.2334,234891.4856
